genes,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,comp_1,comp_2,n_ligand,class
Triap1,9.615768818506088e-8,0.3816418117252567,0.455,0.414,0.00152583019612054,IL6,p129,1,unique
Mmd,9.858800133261169e-8,-0.48779196172833195,0.316,0.416,0.00156439440514588,IL6,p129,4,moderate (1-5)
Etf1,1.0179817459846458e-7,0.17031363452881831,0.955,0.942,0.00161533343452843,IL6,p129,1,unique
Ddx39a,1.0635092557917163e-7,0.17590186527365348,0.959,0.944,0.00168757648709029,IL6,p129,2,moderate (1-5)
Cdc40,1.067542587167088e-7,-0.27333497833311027,0.695,0.755,0.00169397657731673,IL6,p129,1,unique
Atp8b4,1.0938771064392709e-7,-0.9204174497830762,0.081,0.151,0.00173576419249783,IL6,p129,1,unique
Macf1,1.1402120558508542e-7,-0.23096270947227593,0.844,0.879,0.00180928849022413,IL6,p129,1,unique
Knstrn,1.1457402352585241e-7,-0.5200755639467605,0.305,0.391,0.00181806060530822,IL6,p129,1,unique
Gnb2,1.197185471642004e-7,-0.20100298591330845,0.868,0.913,0.00189969390640153,IL6,p129,2,moderate (1-5)
mt-Nd5,1.2071105868363206e-7,-0.12253179768326072,0.99,0.997,0.00191544307919187,IL6,p129,1,unique
Esrra,1.221426675640355e-7,0.8097452810843344,0.18,0.118,0.00193815984890611,IL6,p129,1,unique
Phb2,1.2433205798779598e-7,0.13647042230617057,0.981,0.98,0.00197290109615034,IL6,p129,2,moderate (1-5)
Wdr74,1.2442091426752946e-7,0.22586704169718763,0.843,0.792,0.00197431106759715,IL6,p129,1,unique
Psma3,1.2778009174346928e-7,0.13097214022287873,0.977,0.973,0.00202761449578537,IL6,p129,1,unique
Phtf2,1.2803217310079153e-7,-0.5730107865759635,0.255,0.343,0.00203161452276336,IL6,p129,1,unique
Rela,1.3213763359913198e-7,0.35627947811426497,0.559,0.46,0.00209675996995102,IL6,p129,1,unique
Mphosph6,1.3501155231905733e-7,0.3389238962118108,0.619,0.539,0.0021423633121988,IL6,p129,1,unique
Gpx4,1.3512134816531542e-7,0.16612664722462478,0.949,0.944,0.00214410555268722,IL6,p129,1,unique
Maz,1.356019270740337e-7,0.27759262471503077,0.774,0.708,0.00215173137881076,IL6,p129,1,unique
Spn,1.3564001137264426e-7,-0.3463844405906605,0.53,0.623,0.00215233570046111,IL6,p129,1,unique
Pigx,1.3997443911194346e-7,-0.3934162422806504,0.466,0.557,0.00222111439982831,IL6,p129,1,unique
Mafg,1.426257879033623e-7,0.557235354377634,0.314,0.241,0.00226318600245055,IL6,p129,1,unique
Racgap1,1.426258909645374e-7,-0.38326078993838286,0.463,0.556,0.00226318763782527,IL6,p129,2,moderate (1-5)
Pou2f1,1.449001050032337e-7,-0.4203480279503684,0.308,0.413,0.00229927486619131,IL6,p129,1,unique
Psmg3,1.495639256829947e-7,0.26138985403022924,0.738,0.662,0.00237328037273775,IL6,p129,1,unique
Nudt19,1.5359312847120375e-7,0.31450115579303406,0.64,0.582,0.00243721576258106,IL6,p129,1,unique
Hgh1,1.5772540530994868e-7,0.4587842982223478,0.435,0.359,0.00250278673145826,IL6,p129,1,unique
B3gnt2,1.5913505794522026e-7,-0.26525725995251853,0.726,0.802,0.00252515509947475,IL6,p129,1,unique
Yrdc,1.5957784804407658e-7,0.30042943453771953,0.634,0.592,0.0025321812927634,IL6,p129,1,unique
Gm26839,1.6555786450720157e-7,-1.528037211974902,0.024,0.071,0.00262707219400027,IL6,p129,1,unique
Eif4e,1.7091088823328378e-7,0.19843755867056356,0.888,0.848,0.00271201397448574,IL6,p129,1,unique
Ccr4,1.74637477825402e-7,0.7381605491738132,0.206,0.136,0.00277114749813347,IL6,p129,2,moderate (1-5)
Ruvbl2,1.7847479329916468e-7,0.20495570306784427,0.897,0.843,0.00283203802007114,IL6,p129,2,moderate (1-5)
